id,"public_id","title_en","title_cy","description_en","description_cy",parent_id,"created_at","updated_at",ordinal,"image","title_tag_en","title_tag_cy","preview_image",navigation
428,"having-a-baby","Having a baby","Cael babi","Help with managing your money before, during and after the birth of your baby.","Cymorth gyda rheoli eich arian cyn, yn ystod ac ar ôl genedigaeth eich babi.",427,"2014-06-03 14:49:37","2014-09-22 14:10:07",3,"","","","",1
429,"maternity-and-paternity-rights","Maternity and paternity rights","Hawliau mamolaeth a thadolaeth","Find out how to claim maternity pay and leave from your employer and your rights when returning to work.","Dysgwch sut i hawlio tâl ac absenoldeb mamolaeth gan eich cyflogwr a'ch hawliau wrth ddychwelyd i'r gwaith.",427,"2014-06-03 14:49:37","2014-09-22 14:10:07",2,"","","","",1
430,"making-a-will","Making a will","Gwneud ewyllys","Learn how to make and change a will and find out about the different options available.","Dysgwch sut i wneud a newid ewyllys a dysgu am y gwahanol opsiynau sydd ar gael.",427,"2014-06-03 14:49:37","2014-09-22 14:10:07",5,"","","","",1
431,"when-someone-dies","When someone dies","Pan fydd rhywun yn marw","Learn how to deal with money after a death, from paying for the funeral to looking after the paperwork and household bills.","Dysgwch sut i ddelio ag arian ar ôl i rywun farw, o dalu am yr angladd i ofalu am y gwaith papur a biliau'r cartref.",427,"2014-06-03 14:49:37","2014-09-22 14:10:07",4,NULL,"","",NULL,1
432,"divorce-and-separation","Divorce and separation","Ysgaru a gwahanu","Find out how to manage your money and divide up what you own when going through divorce or separation.","Dysgwch sut i reoli'ch arian a rhannu'r hyn rydych yn berchen arno wrth fynd trwy ysgariad neu ymwahaniad.",427,"2014-06-03 14:49:37","2014-09-22 14:10:07",1,"","","","",1
433,"cars-and-travel","Cars and travel","Ceir a theithio","Help with buying, running and selling a car, buying foreign currency, and sending money abroad","Cymorth i brynu, rhedeg a gwerthu car, prynu arian tramor, ac anfon arian dramor",NULL,"2014-06-12 11:39:33","2014-07-21 13:36:02",10,"","","","",1
434,"how-to-buy-a-car","How to buy a car","Sut i brynu car","What to consider before buying a new or used car, including your budget, car finance options, and how to negotiate the best deal.","Beth i'w ystyried cyn prynu car newydd neu ail-law, gan gynnwys eich cyllideb, opsiynau cyllid car, a sut i gael y fargen orau.",433,"2014-06-12 11:39:33","2014-09-23 09:54:25",3,"","","","",1
435,"running-a-car","Running a car","Rhedeg car","Your rights if something’s wrong with your new car, cutting car finance costs, top MOT tips, advice for younger drivers, plus could you manage without a car?","Eich hawliau os oes problem gyda'ch car newydd, torri costau cyllid car, awgrymiadau defnyddiol am yr MOT, cyngor ar gyfer gyrwyr iau, ac a allech ymdopi heb gar?",433,"2014-06-12 11:39:33","2014-09-23 09:54:25",2,"","","","",1
436,"selling-your-car","How to sell a car","Sut i werthu car","Find out about the different ways to sell a car, how to negotiate a good price, and your options for disposing of an old car.","Dysgwch am y gwahanol ffyrdd o werthu car, sut i gael pris da, a'ch opsiynau i gael gwared ar hen gar.",433,"2014-06-12 11:39:33","2014-09-23 09:54:25",4,"","","","",1
437,"travel-money-and-sending-money-abroad","Travel money and sending money abroad","Arian teithio ac anfon arian dramor","Buying foreign currency, cheap cards to use abroad, and choosing the best way to send money overseas.","Prynu arian tramor, cardiau rhad i'w defnyddio dramor a dewis y ffordd orau o anfon arian dramor.",433,"2014-06-12 11:39:33","2014-09-23 09:54:25",1,NULL,"","",NULL,1
438,"work-pensions-and-retirement","Work, pensions and retirement","Gwaith, pensiynau ac ymddeol","Includes retirement advice, types of pension and retirement income, and information on automatic enrolment","Yn cynnwys cyngor ar ymddeol, mathau o bensiwn ac incwm ymddeol, a gwybodaeth ar gofrestru awtomatig",NULL,"2014-06-12 15:04:34","2014-07-21 13:37:09",4,"","","","",1
439,"jobs-and-tax","Jobs and tax","Swyddi a threth","Help with understanding your payslip and what to look for in your employment contract.","Cymorth gyda deall eich slip cyflog a beth i edrych amdano yn eich cytundeb cyflogaeth.",438,"2014-06-12 15:04:34","2014-10-09 13:38:15",0,"","","","",1
440,"redundancy","Redundancy","Dileu swydd","Help with making a redundancy plan, benefits you can claim, and your legal rights.","Cymorth gyda llunio cynllun dileu swydd, budd-daliadau y gallwch eu hawlio, a’ch hawliau cyfreithiol.",438,"2014-06-12 15:04:34","2014-07-08 16:22:37",1,"","","","",1
441,"pension-basics","Pension basics","Ffeithiau sylfaenol ynghylch pensiynau","Find out why and when to save into a pension and how to work out what your pension pot might be.","Dysgwch pam a phryd i gynilo i bensiwn a sut i gyfrifo faint fydd eich cronfa bensiwn.",438,"2014-06-12 15:04:35","2014-06-27 09:01:14",2,"","","","",1
442,"types-of-pensions","Types of pension","Mathau o bensiynau","From defined contribution and benefit schemes, to personal pensions and pensions for the self-employed.","O gynlluniau cyfraniad diffiniedig a buddion, i bensiynau personol a phensiynau ar gyfer pobl hunangyflogedig.",438,"2014-06-12 15:04:35","2014-06-13 15:20:05",3,"","","","",1
443,"automatic-enrolment","Automatic enrolment","Cofrestru awtomatig","Learn about automatic enrolment and how it affects you, and use our workplace pension advice tool and calculator.","Dysgwch am gofrestru awtomatig a sut mae’n effeithio arnoch, a defnyddiwch ein hofferyn a chyfrifiannell cyngor pensiwn gweithle.",438,"2014-06-12 15:04:35","2014-06-12 15:04:35",4,NULL,"","",NULL,1
444,"retirement-income-basics","Retirement income basics","Ffeithiau sylfaenol ynghylch incwm ymddeol","Setting a clear retirement income goal and managing your money once you’ve stopped working.","Gosod nod incwm ymddeol a rheoli’ch arian ar ôl ichi orffen gweithio.",438,"2014-06-12 15:04:35","2014-06-12 15:04:35",5,NULL,"","",NULL,1
445,"types-of-retirement-income","Types of retirement income","Mathau o incwm ymddeol","Learn about the different types of annuity and other types of pension and retirement income.","Darllenwch am y gwahanol fathau o flwydd-dal a mathau eraill o bensiwn ac incwm ymddeol.",438,"2014-06-12 15:04:35","2014-06-13 11:27:37",6,"","","","",1
